项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
纳米硅高临界场的能量弛豫机理与模型探索,61704020,7190600 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,29,30.92,29,财务通过，立项完成,直接立项,进行中
基于载流子可控场致光发射硅器件电光调制技术基础研究,61704019,7160737 ,电子科学与工程学院（示范性微电子学院）,"中国电子科技集团公司第四十四研究所,重庆大学",2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.7,25,财务通过，立项完成,直接立项,进行中
基于微惯导技术的自主人员定位研究,61703076,7182794 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,29,32.89,29,财务通过，立项完成,直接立项,进行中
视觉引导搜索机理的计算模型及其在目标检测中的应用研究,61703075,7182804 ,生命科学与技术学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,27.44,26,财务通过，立项完成,直接立项,进行中
基于复杂网络分析的文化演化研究及应用,61703074,8190608 ,大数据研究中心,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.54,25,财务通过，立项完成,直接立项,进行中
大脑皮层沟回功能分工的全局动态交互研究,61703073,8190611 ,生命科学与技术学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,27.52,26,财务通过，立项完成,直接立项,进行中
遥感影像融合问题的正则化模型和高性能算法研究,61702083,7182712 ,数学科学学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,30,31.84,30,财务通过，立项完成,直接立项,进行中
测量数据处理的信息测度方法,61701095,7110714 ,自动化工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,28.35,25,财务通过，立项完成,直接立项,进行中
基于多尺度深度学习的阿尔法通道预估算法研究,61701094,7190598 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,28,31.27,28,财务通过，立项完成,直接立项,进行中
复合高斯杂波中基于少量辅助数据的自适应目标检测算法研究,61701093,7190633 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,29.49,26,财务通过，立项完成,直接立项,进行中
W频段六端口接收机关键技术研究,61701092,8161628 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,29,30.98,29,财务通过，立项完成,直接立项,进行中
新型移动网络能耗改善机制研究,61701091,7181703 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,30,34.02,30,财务通过，立项完成,直接立项,进行中
宽带相控参量阵波束形成算法研究,61701090,7190619 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25.5,28.52,25.5,财务通过，立项完成,直接立项,进行中
基于稳态视觉诱发电位的情绪脑网络研究,61701089,9180881 ,生命科学与技术学院,中国人民解放军信息工程大学,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,27.58,26,财务通过，立项完成,直接立项,进行中
阵列钻孔雷达微弱目标成像技术研究,61701088,8186795 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,28,29.92,28,财务通过，立项完成,直接立项,进行中
用于高速数字电路辐射发射预估的稀疏源建模理论与方法研究,61701087,7171721 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.58,25,财务通过，立项完成,直接立项,进行中
基于探地雷达的高铁无碴轨道多层成像研究,61701085,9180994 ,自动化工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,19,20.88,19,财务通过，立项完成,直接立项,进行中
电子注激发石墨烯表面等离子体波产生相干太赫兹辐射的研究,61701084,7182702 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,27.64,26,财务通过，立项完成,直接立项,进行中
基于逆算子自恰算法的积分方程区域分解法研究,61701083,9180871 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.5,25,财务通过，立项完成,直接立项,进行中
基于柔性介质的微波光机械超材料合成机理及特性研究,61701082,7190596 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,28.09,25,财务通过，立项完成,直接立项,进行中
基于频控阵的微波成像方法研究,61701081,7182694 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,29.09,26,财务通过，立项完成,直接立项,进行中
硅基CMOS太赫兹双向放大器技术研究,61701080,9210785 ,物理学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,15,15,财务通过，立项完成,直接立项,进行中
临近空间飞行器通信中频谱的快速预测与精准感知技术研究,61701079,7150682 ,航空航天学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.56,25,财务通过，立项完成,直接立项,进行中
基于纵向多模态数据的阿尔茨海默症早期诊断方法研究,61701078,7172694 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,28.86,26,财务通过，立项完成,直接立项,进行中
宽带信号频谱分析关键技术研究,61701077,8176797 ,自动化工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,27.88,25,财务通过，立项完成,直接立项,进行中
用于脑出血检测的微波热声成像技术研究,61701076,7172731 ,电子科学与工程学院（示范性微电子学院）,四川大学,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,23,24.48,23,财务通过，立项完成,直接立项,进行中
多径路由环境下的网络拓扑层析成像技术研究,61701074,9190605 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.5,24,财务通过，立项完成,直接立项,进行中
面向欠驱动康复机器手的NiTi多重记忆材料激光焊接及其功能损伤机理研究,51775091,7110777 ,机械与电气工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,63,60,财务通过，立项完成,直接立项,进行中
高速变载工况下大型风力发电机组失效机理与可靠性评估方法研究,51775090,7150676 ,机械与电气工程学院,太原重工股份有限公司,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,51,53.25,51,财务通过，立项完成,直接立项,进行中
外骨骼人机耦合动力学建模与人主机辅协同控制方法研究,51775089,7110662 ,航空航天学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,62.6,60,财务通过，立项完成,直接立项,进行中
适用于溶液方法的高效吸热延迟荧光树枝状大分子材料的设计、合成与性质研究,51773029,7171738 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,61,63.8,61,财务通过，立项完成,直接立项,进行中
耐高温薄膜电容器用聚芳醚腈的合成与聚集态结构控制,51773028,7070696 ,材料与能源学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,58,60.9,58,财务通过，立项完成,直接立项,进行中
具有有序疏松结构可自修复电致变色材料的设计、合成及物性研究,51773027,7080612 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,58,60.55,58,财务通过，立项完成,直接立项,进行中
高Ha、高Mr/Ms、低△H SrM铁氧体材料制备及其关联物理机制研究,51772046,7120594 ,材料与能源学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,63,60,财务通过，立项完成,直接立项,进行中
自组装磁性纳米颗粒与太赫兹波相互作用的基础研究,51772045,7160641 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,63,60,财务通过，立项完成,直接立项,进行中
用于脉冲神经网络的单晶忆阻薄膜与交叉阵列特性研究,51772044,7150605 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,63,60,财务通过，立项完成,直接立项,进行中
大面积AB堆垛双层石墨烯单晶制备技术研究,51772043,7171728 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,63,60,财务通过，立项完成,直接立项,进行中
过渡金属硼化物薄膜的高温红外辐射特性及发射率调控机理研究,51772042,7090606 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,60,62.9,60,财务通过，立项完成,直接立项,进行中
电子功能陶瓷薄膜与集成器件,51722204,7090678 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,优秀青年科学基金项目,130,136.8,130,财务通过，立项完成,直接立项,进行中
基于阻抗无源性重塑的变流器与电网交互谐振抑制理论与方法研究,51707030,7110704 ,自动化工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,27,30.31,27,财务通过，立项完成,直接立项,进行中
大型陆上风电场风机布局与集电系统综合优化研究,51707029,7190629 ,机械与电气工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.36,25,财务通过，立项完成,直接立项,进行中
非均匀材料热物性参数的定量光声层析成像,51706036,8161609 ,光电科学与工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.64,24,财务通过，立项完成,直接立项,进行中
不确定条件下机械结构电磁屏蔽特性建模与分析方法研究,51705067,7160610 ,机械与电气工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.58,25,财务通过，立项完成,直接立项,进行中
基于变胞机构的多构态弹性驱动仿生跑跳关节的设计理论与试验研究,51705066,7172706 ,机械与电气工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,27,28.7,27,财务通过，立项完成,直接立项,进行中
接触式双重体异质结宽光谱聚合物/小分子非富勒烯太阳能电池的研究,51703019,7140693 ,光电科学与工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,22,23.5,22,财务通过，立项完成,直接立项,进行中
亚铁磁YIG单晶/Ge基半导体薄膜生长及自旋新效应研究,51702042,7171703 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.4,25,财务通过，立项完成,直接立项,进行中
基于NiFe合金的磁涡旋薄膜制备及其可调控电磁性能研究,51702041,7150664 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.64,24,财务通过，立项完成,直接立项,进行中
陶瓷基固态锂空气电池嵌脱锂正极材料的催化及储能复合机制研究,51702040,7190612 ,物理学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.43,24,财务通过，立项完成,直接立项,进行中
固体氧化物燃料电池阳极内重整与硫化氢毒化行为的交互作用机制研究,51702039,7140691 ,材料与能源学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,21,22.44,21,财务通过，立项完成,直接立项,进行中
锡基钙钛矿薄膜的结晶行为与缺陷调控机理研究,51702038,7190595 ,材料与能源学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.64,24,财务通过，立项完成,直接立项,进行中
